# Land Anzahl
AE 166
AF 3
AL 15
AM 8
AO 3
AR 62
AT 11
AU 14
AZ 8
BA 3
BD 198
BE 2
BF 1
BG 29
BI 3
BJ 2
BO 4
BR 210
BT 1
BW 4
BY 3
CA 53
CD 3
CG 2
CH 29
CI 1
CL 35
CM 2
CN 1718
CO 203
CR 5
CU 2
CY 9
CZ 34
DE 377
DK 2
DO 75
DZ 2
EC 91
EE 11
EG 70
ES 30
FI 82
FR 188
GA 1
GB 161
GE 9
GH 4
GM 2
GQ 3
GR 9
GT 20
HK 350
HN 16
HR 3
HT 2
HU 16
ID 1559
IE 3
IL 1
IN 225
IQ 25
IR 91
IS 1
IT 23
JM 1
JP 200
KE 24
KG 8
KH 67
KR 163
KZ 20
LA 1
LB 5
LK 3
LS 1
LT 5
LU 3
LV 9
LY 25
MA 8
MD 3
ME 4
MK 3
ML 2
MM 15
MN 6
MO 2
MT 1
MU 1
MW 2
MX 164
MY 187
MZ 1
NG 24
NL 152
NO 3
NP 18
NZ 1
OM 2
PA 3
PE 62
PG 1
PH 381
PK 104
PL 36
PR 10
PS 9
PT 1
PY 25
QA 3
RO 9
RS 10
RU 369
RW 4
SA 2
SC 21
SE 23
SG 258
SI 2
SK 3
SL 2
SN 4
SO 2
SS 2
SV 1
SX 1
SY 69
TH 239
TJ 2
TR 124
TW 13
TZ 7
UA 63
UG 5
US 1339
UY 2
UZ 18
VE 101
VG 1
VN 248
WS 1
XK 3
XX 3
YE 2
YT 1
ZA 59
ZW 26
